Fiscal Year ,Summary Report Date,Date of Incident,Preliminary Description of Incident,City,State,Zipcode,,,
FY 2012,9/22/12,9/13/12,Mr Asphalt Inc., Corvallis,MT,59828,,,Worker died after falling approximately 13 ft while checking the level of an asphalt oil tank.
FY 2012,9/29/12,9/13/12,Mr Asphalt Inc., Corvallis,MT,59828,,,Worker died after falling approximately 13 ft while checking the level of an asphalt oil tank.
FY 2012,9/22/12,9/20/12,Bonneville Power Administration, Saint Regis,MT,59866,,,Worker died after falling approximately 80 feet while replacing insulators.
FY 2012,9/29/12,9/20/12,Bonneville Power Administration, Saint Regis,MT,59866,,,Worker died after falling approximately 80 feet while replacing insulators.
FY 2012,1/7/12,1/3/12,TA Operating, Hillsborough,NC,27278,,,Worker was struck and killed by a metal pry bar when working on the brakes of a vehicle.
FY 2012,7/28/12,7/27/12,Southern Investments LLC, Reidsville,NC,27320,,,Worker cutting wire off baled recyclable plastics was killed after being pulled into an auger.
FY 2012,6/23/12,6/13/12,Parmass Holdings Inc. dba Envision Plastics, Reidsville,NC,27323,,,Worker performing equipment maintenance was electrucuted.
FY 2012,7/28/12,7/26/12,Evonik Stockhausen LLC, Greensboro,NC,27406,,,Worker was pinned between a commercial carrier cab and a trailer.
FY 2012,3/31/12,3/24/12,Daniel Coates Farm, Fuquay Varina,NC,27526,,,Farm worker was struck and killed when a box of feed stock fell on him.
FY 2012,6/9/12,6/1/12,Waukesha Electric Systems Inc., Goldsboro,NC,27530,,,Worker died from electrical burns received while testing a transformer.
FY 2012,1/7/12,12/23/11,Schwerman Trucking Company, Raleigh,NC,27610,,,"Worker transferring a product from a tanker died from injuries when a pressurized vessel cover struck him, causing him to fall."
FY 2012,12/3/11,11/23/11,Parnell & Son Drywall Inc., Raleigh,NC,27614,,,"Worker making repairs in a church attic without using fall protection, died when he fell through the ceiling to the concrete floor."
FY 2012,11/19/11,10/14/11,Six Forks Cinema, Raleigh,NC,27615,,,Worker fell at movie theater.
FY 2012,5/12/12,5/10/12,Pike Electric Corporation, Elm City,NC,27822,,,Worker had one hand on a truck that became energized and the electricity flowed through the worker's body.
FY 2012,7/14/12,7/2/12,W.W. Landscaping Inc., Pinetops,NC,27864,,,Worker cutting down a nearly 100-foot-high pine tree was struck and killed by another falling tree.
FY 2012,11/19/11,11/9/11,Town of Lucama, Wilson,NC,27893,,,Worker attempting to move a service pole while inside a bucket truck died after falling more than 50 feet when the pole fell on the bucket.
FY 2012,2/18/12,2/8/12,Con-Way Southern Express, Columbia,NC,27925,,,Worker caught between a truck and a loading dock died from injuries.
FY 2012,2/11/12,1/16/12,Proof Seal LLC, Bessemer City,NC,28016,,,Worker died after falling 16 feet through a skylight to a concrete floor.
FY 2012,11/19/11,10/27/11,Team Carolinas, China Grove,NC,28023,,,Pizza delivery worker died from head injuries after falling from front porch striking his head on the sidewalk.
FY 2012,7/7/12,6/29/12,S&S Graham Archery Sales Inc., China Grove,NC,28023,,,"Worker using acetone to perform taxidermy activities was killed when the pilot light from a water heater ignited the acetone vapors, causing a fire."
FY 2012,5/5/12,5/8/12,Knott Construction Inc., Forest City,NC,28043,,,Worker at a construction site was killed after he was hit on the head by a steel pipe that broke from a piece of scrap metal.
FY 2012,3/31/12,3/30/12,Huntersville Hardwoods Inc., Huntersville,NC,28070,,,Worker was struck and killed by a fork truck while walking to a break area.
FY 2012,4/21/12,4/20/12,Robert Ochoa dba Robert Ochoa, Mooresville,NC,28117,,,Worker repairing a residential roof died after falling 13 feet onto a concrete driveway.
FY 2012,3/31/12,3/27/12,HD Supply Waterworks, Pineville,NC,28134,,,"Worker for a plumbing supplies company who was loading materials on a flatbed truck died when he fell 4 feet off the truck, and was then struck by a 420-pound pipe."
FY 2012,6/23/12,6/22/12,Dustin Ellis dba Dustin Ellis Logging, Stanley,NC,28164,,,Worker cutting down trees was killed when a tree struck him.
FY 2012,4/28/12,3/24/12,A and A Farms Inc., Bunnlevel,NC,28323,,,Farm worker was killed after a box of seed potatoes fell on him.
FY 2012,2/25/12,2/18/12,Smithfield Packing Company Inc., Clinton,NC,28328,,,Worker emptying waste water sludge into a tanker truck died from exposure to toxic gas.
FY 2012,10/1/11,9/26/11,Murphy-Brown, Laurinburg,NC,28352,,,Worker trying to access an auger motor died after becoming entangled in the machine.
FY 2012,4/21/12,4/18/12,Lewis Nursery and Farms Inc., Rocky Point,NC,28457,,,Worker was killed after his leg became caught in coiled rope that was being pulled onto a post by a spooling machine.
FY 2012,11/26/11,11/20/11,Tri-County Electric Membership Corporation, Seven Springs,NC,28578,,,Worker performing electrical repair was killed when he was thrown from the bucket truck after it was hit by a tractor trailer.
FY 2012,4/7/12,4/3/12,Outdoor Advertising Services, Snow Hill,NC,28580,,,Worker setting up a metal ladder alongside a billboard was electrocuted when the ladder touched a power line.
FY 2012,12/3/11,11/29/11,Jones County Cotton Gin, Trenton,NC,28585,,,"Worker was killed after four bales of cotton, each weighing 500 pounds, fell on top of him."
FY 2012,3/3/12,2/21/12,Brunner Equipment LLC, Elkin,NC,28621,,,Worker was killed when a hydraulic lift fell on him.
FY 2012,8/25/12,8/20/12,Sammy Coffeys Wholesale Nursery Inc., Lenoir,NC,28645,,,Worker was struck by a tree that was being cut down.
FY 2012,12/3/11,11/21/11,New River Tree Company, West Jefferson,NC,28694,,,Worker died when he fell 10 feet from a trailer while unloading trees.
FY 2012,12/3/11,11/18/11,Lankford Protective Services, Lake Junaluska,NC,28745,,,Worker died when he slipped down the stairs and struck his head.
FY 2012,4/14/12,4/11/12,NC Dept. of Public Safety, Spruce Pine,NC,28777,,,Worker sustained a fatal head injury after falling down stairs.
FY 2012,8/4/12,8/3/12,NC Department of Transportation, Murphy,NC,28906,,,Two workers were struck-by and pinned against the back of a dump truck after being hit by a vehicle.
FY 2012,2/4/12,1/27/12,Patterson UTI, Keene,NC,58847,,,Worker was killed in a boiler explosion on an oil drilling rig.
FY 2012,6/2/12,5/25/12,Scott's Electric Inc., West Fargo,ND,58078,,,Worker installing electrical conduits in a building under construction was struck on the head and killed by a 28-foot steel beam.
FY 2012,6/30/12,6/27/12,Midwest Steeplejacks, Fargo,ND,58104,,,Worker died after falling 153 feet from a cellphone tower.
FY 2012,9/15/12,9/9/12,S.J. Louis Construction Inc., Bismarck,ND,58501,,,Trench worker killed after being pinned between track hoe and 24-inch pipe.
FY 2012,4/14/12,4/2/12,A&R Construction, Dickinson,ND,58601,,,"Worker unloading pipes from a flatbed truck was killed when the pipes came loose and hit worker, causing him to fall to the ground."
FY 2012,1/7/12,12/20/11,CR Petersen, Dickinson,ND,58601,,,Worker was engulfed when the sewer and water trench he was digging caved in.
FY 2012,8/11/12,8/6/12,Big Sky Well Service Inc., Killdeer,ND,58640,,,Worker died after falling approximately 75 feet from a service rig.
FY 2012,1/14/12,1/7/12,Across Big Sky Flow Testing, Killdeer,ND,58640,,,Worker switching tanks at a flow testing facility was found dead on the catwalk of a tank battery.
FY 2012,2/4/12,1/31/12,Trans Power Electric, New Town,ND,58763,,,Worker was struck and killed by a backhoe blade during electrical installation operations.
FY 2012,3/10/12,3/2/12,Frontier Drilling LLC, Palermo,ND,58769,,,"Worker performing piping work died from injuries sustained when his life line broke, causing him to fall 75 feet."
FY 2012,2/18/12,2/16/12,Key Energy Services Inc., Plaza,ND,58771,,,Worker operating equipment that injected nitrogen into an oil well was found dead.
FY 2012,8/25/12,8/15/12,Steamboat Energy Consultants, Williston,ND,58801,,,Worker overseeing the operation of an oil rig was struck and killed by a truck.
FY 2012,2/11/12,2/3/12,KKA Drilling LLC, Keene,ND,58847,,,Worker died after falling 14 feet during rig tear-down operations.
FY 2012,11/5/11,10/27/11,Noble Casing Incorporated, Watford City,ND,58854,,,Worker was killed in a vehicle roll-over incident while enroute to a job site.
FY 2012,9/15/12,9/14/12,Danlin Corp, Cedar Bluffs,NE,68015,,,Employee working on a roof died from injuries after falling 20 feet to the ground.
FY 2012,1/28/12,1/26/12,Bimbo Bakeries USA, Omaha,NE,68134,,,Worker was pinned by a panel van truck against the wall of the building.
FY 2012,7/7/12,6/24/12,T.H. Construction Company, Bennet,NE,68317,,,Worker using a pipe wrench to loosen the cap from an utility line was killed when the wrench struck his head.
FY 2012,4/28/12,4/24/12,Quality Power & Control, Allen,NE,68710,,,Worker performing electrical services was electrocuted.
FY 2012,3/17/12,3/14/12,Tyson Fresh Meats Inc., Dakota City,NE,68731,,,Worker repairing an adjustable lift platform inside a meat packing facility was crushed when the chain holding the platform broke.
FY 2012,1/7/12,12/7/11,Eaton Corporation, Kearney,NE,68848,,,Worker was caught between bar steel feeder and press.
FY 2012,2/11/12,1/18/12,Hastings Acquisitions, Hastings,NE,68901,,,Worker dies when he is pulled into a conveyor after his scarf gets caught in the machine.
FY 2012,10/8/11,9/30/11,Commercial Construction, Kearney,NE,68924,,,Worker using a dozer to fill a lake with sand drowned when the sand could not support the equipment's weight.
FY 2012,2/11/12,2/1/12,Wauneta Mills LLC, Wauneta,NE,69045,,,Worker using an auger to fill truck with feed pellets was found dead inside the truck bin.
FY 2012,3/31/12,2/23/12,FM Property Services, Union,NJ,,,,Worker died after falling eight feet while installing ceiling tiles from a ladder.
FY 2012,8/11/12,7/25/12,Circle Rubbish Removal Inc., Avenel,NJ,7001,,,Employee suffered fatal head and spine injuries after falling off of a dumpster.
FY 2012,1/28/12,1/20/12,Garfield Lumber and Millwork, Garfield,NJ,7026,,,"Worker was working underneath a forklift when the jack used to lift the forklift failed, crushing the worker."
FY 2012,6/2/12,5/25/12,Hummel Machine & Tool Co., Kearny,NJ,7032,,,Worker operating a lathe machine at a tool and machine company died after a piece of flying glass cut his neck.
FY 2012,9/29/12,8/22/12,New Jersey Transit Heavy Rail Kearny,,NJ,7032,,,Worker performing maintanence underneath railroad equipment when hydraulic line disconnected and equipment lowered crushing worker.
FY 2012,12/10/11,12/3/11,Champion Construction Co., North Bergen,NJ,7047,,,Worker operating a tilt frame truck used to place a roll-off container onto the truck was killed when an anchorage point broke free and struck him on the head after it was propelled through the rear window of the truck cab.
FY 2012,2/4/12,1/26/12,Prestige Exterior Maintenance LLC, North Bergen,NJ,7047,,,Worker was crushed by the arm of a skid steer.
FY 2012,12/24/11,12/16/11,Airserv Corporation, Union,NJ,7083,,,Worker was struck and killed by a bus.
FY 2012,5/26/12,5/18/12,ASAP Seamless Gutters, Secaucus,NJ,7094,,,Worker died after being ejected from a 40-foot high aerial lift basket.
FY 2012,11/19/11,11/14/11,Vollers Excavating & Construction, Newark,NJ,7102,,,Worker was struck and killed by a vehicle at the edge of a parking lot driveway.
FY 2012,12/31/11,12/30/11,T. Fiore Demolition, Newark,NJ,7105,,,Worker died after he was caught in a moving conveyor belt.
FY 2012,7/21/12,7/16/12,Fino Electric, Newark,NJ,7105,,,Worker fell 35 feet from an aerial lift basket.
FY 2012,1/14/12,1/9/12,D&J Marangi, Newark,NJ,7108,,,Worker was run over by a garbage truck while on a collection route.
FY 2012,3/24/12,2/22/12,Port Newark Container Terminal LLC, Newark,NJ,7114,,,Worker at a container terminal died after being caught between two cargo containers.
FY 2012,6/30/12,6/14/12,Joy Construction, Ridgewood,NJ,74506,,,Worker was struck on the head and killed by flying debris.
FY 2012,8/11/12,8/6/12,D.R. Exteriors LLC, West Milford,NJ,7480,,,Roofing worker died after falling approximately 30 feet from a residential roof.
FY 2012,10/1/11,9/20/11,Al and John, Paterson,NJ,7503,,,Worker cleaning a meat mixer died when he fell into the machine.
FY 2012,4/28/12,4/14/12,D Barro Landscaping Service Inc., Leonia,NJ,7605,,,Worker repairing an uprooted sidewalk at a construction site was crushed after a concrete slab hanging from a bobcat fell on him.
FY 2012,8/11/12,8/3/12,Jersey Central Power & Light Company, Manalapan,NJ,7726,,,Employee was electrocuted while working on a downed wire.
FY 2012,11/12/11,11/5/11,American Biltrite, Moorestown,NJ,8057,,,Worker was crushed in a coating machine.
FY 2012,7/28/12,7/10/12,Leonard Chavarria, Pedricktown,NJ,8067,,,Worker was replacing roof shingles and fell from the seond story level.
FY 2012,10/1/11,8/28/11,Princeton First Aid & Rescue, Princeton,NJ,8540,,,"Worker, attempting to rescue a trapped motorist in fast moving water, drowned after being separated from his tether."
FY 2012,1/14/12,12/14/11,Chanel, Piscataway,NJ,8854,,,Worker was caught between a forklift and a storage rack.
FY 2012,7/21/12,7/17/12,7-Eleven Albuquerque,,NM,87106,,,Store worker died from a gun shot wound to the neck during a robbery.
FY 2012,11/5/11,10/10/11,D & H Pump Service, Albuquerque,NM,87113,,,Worker died from injuries sustained when a fuel dispenser fell on him.
FY 2012,4/14/12,4/13/12,Shamrock Foods, Albuquerque,NM,87120,,,Worker at a food processing facility was killed when an elevated docking board used to fill the gap between a trailer and loading dock fell and struck his head.
FY 2012,9/8/12,9/3/12,High Desert Roofing, Farmington,NM,87401,,,Worker died after falling through a roof opening and hitting concrete floor.
FY 2012,8/25/12,8/21/12,Wiggle Tails Oil Field Service Inc., Bloomfield,NM,87413,,,Worker was crushed under the rear wheels of a truck.
FY 2012,7/21/12,7/20/12,Coranado Wrecking and Salvage Santa Fe,,NM,87503,,,Worker was struck and killed by a load of metal beams being stacked onto a trailer.
FY 2012,7/7/12,7/4/12,San Saba Pecan, Las Cruces,NM,88005,,,Worker using a scissor lift died from injuries suffered when the lift toppled over.
FY 2012,12/10/11,12/5/11,Southwest Concrete and Paving, Deming,NM,88030,,,Worker died after he slipped and fell while clearing asphault.
FY 2012,11/19/11,11/12/11,E-Light Electrical Services, Oil Center,NM,88040,,,Solar farm worker died after developing a respiratory ailment (Desert Fever) while working in the field.
FY 2012,7/7/12,6/24/12,Baja Ranch LLC, Lordsburg,NM,88045,,,Worker was run over and killed by a field tractor.
FY 2012,8/4/12,8/3/12,Clovis Sign Service Inc., Clovis,NM,88101,,,Worker installing a billboard was electrocuted when metal from the sign touched a power line.
FY 2012,11/12/11,11/2/11,Western Dairy Transport, Portales,NM,88130,,,Worker was killed when strong winds caused the door of a transport trailer to strike him.
FY 2012,3/24/12,3/20/12,Donner Plumbing and Heating Inc., Portales,NM,88130,,,"Worker for a plumbing and heating company who was unbolting equipment attached to a hoist was killed when the hoist frame collapsed, pinning the worker between the framing."
FY 2012,7/14/12,6/27/12,Plaska Transmission Line Construction LLC, Eunice,NM,88231,,,"One worker died, another injured after suffering electrical burns when the boom truck they were inside touched a power line."
FY 2012,7/7/12,7/4/12,Forrest Tire Company, Hobbs,NM,88240,,,"Worker was changing a truck tire when it exploded, striking and killing worker."
FY 2012,10/1/11,8/25/11,Unknown, Boulder City,NV,89006,,,Worker towing an airplane crashed into a building at an airport.
FY 2012,8/4/12,8/1/12,Roc Equipment, Clark,NV,89015,,,Worker performing work on a drill rig died from exposure to hydraulic fluid after a cylinder cracked from extreme pressure.
FY 2012,12/10/11,12/2/11,Barstow Truck Parts and Equipment Leasing, Indian Springs,NV,89018,,,Worker was killed when caught-in between a tractor backing up and a trailer.
FY 2012,8/11/12,8/9/12,Rocky Mountain Recycling, Las Vegas,NV,89030,,,Worker at a recycling facility was crushed under a forklift after it tipped over.
FY 2012,4/7/12,4/6/12,Rotech Granite Inc., Las Vegas,NV,89109,,,Worker raised a diamond saw table unit above his head to disassemble it from underneath and was crushed when the table top fell on him.
FY 2012,1/7/12,10/27/11,Redcor Drilling, Winnemucca,NV,89446,,,Worker died inside of a water truck after it rolled down an embankment.
FY 2012,9/15/12,9/13/12,Fisher Industries, Mile Post 392,NV,89521,,,Worker making repairs to a tire compactor was crushed between the compactor and a drum roller.
FY 2012,4/7/12,4/3/12,J & E Industries LLC, New York,NY,10001,,,Worker was killed at a construction site when a crane fell on him.
FY 2012,4/21/12,2/10/12,Star Wars Technology Systems Inc., New York,NY,10007,,,Worker installing heat control cabling died after falling off a ladder and hitting his head on the concrete floor.
FY 2012,5/19/12,5/17/12,Bras-Al Construction Corp., New York,NY,10013,,,Worker on a construction site died after falling two stories from a scaffold and landing on a sidewalk shed.
FY 2012,12/24/11,12/14/11,Young & Rubicam, New York,NY,10017,,,Worker was crushed between the passenger elevator car and the shaft wall.
FY 2012,4/21/12,11/17/11,Dragados USA/Judlau, New York,NY,10017,,,Worker using a concrete sprayer during tunnel repairs was struck and killed by falling concrete.
FY 2012,11/12/11,10/13/11,West New York Restoration of CT, New York,NY,10019,,,Worker installing a fall protection safety line died after touching a live wire while on a ladder and falling 92 feet.
FY 2012,11/19/11,10/8/11,Built Rite Contracting Corp., New York,NY,10021,,,Worker was struck and killed by his unoccupied truck as it rolled to the bottom of an incline.
FY 2012,3/31/12,3/22/12,Breeze National Inc., New York,NY,10027,,,Worker for a trash and junk disposal company was killed when part of a two-story building collapsed.
FY 2012,9/8/12,3/28/12,Schindler Elevator Corp., NY,NY,10104,,,Elevator mechanic was electrocuted while working on a panel.
FY 2012,1/7/12,12/27/11,JP Salvage, Staten Island,NY,10309,,,Worker died after he fell from an elevated platform.
FY 2012,2/11/12,1/23/12,BEI Engineering Services, Bronx,NY,10462,,,Worker was killed after the vehicle blocking a work zone was struck by an intermodal container.
FY 2012,11/19/11,11/11/11,Mamaroneck Tn Hwy Dept., Mamaroneck,NY,10543,,,Worker was struck and killed by a local government truck in a recycling yard while performing leaf collection.
FY 2012,5/5/12,4/13/12,Peekskill City Dept. of Public Works, Peekskill,NY,10566,,,Worker for a public works department suffered head trauma after falling from a truck.
FY 2012,9/1/12,8/22/12,Action Roofing & Siding LLC, Rye,NY,10580,,,Worker removing old shingles from a residential roof died after falling from roof
FY 2012,9/8/12,9/5/12,Werkheiser Roofing, Rye,NY,10580,,,Worker died after falling 20 feet from a ladder.
FY 2012,9/22/12,9/22/12,Olmar Salazar, Airmont,NY,10901,,,Employee died after being struck by a tree branch while working on a landscaping site.
FY 2012,9/29/12,9/22/12,Olmar Salazar, Airmont,NY,10901,,,Employee died after being struck by a tree branch while working on a landscaping site.
FY 2012,12/10/11,12/9/11,Haverstraw Transit, Haverstraw,NY,10927,,,Worker died when he fell from a ladder while repairing a garage bay door opener.
FY 2012,6/2/12,5/29/12,Pearl River Home Improvement Inc., Nanuet,NY,10954,,,Worker making repairs to a residential roof died after falling off roof.
FY 2012,12/17/11,12/9/11,Precision Facilities Corporation, West Point,NY,10996,,,"Worker suffered fatal injuries after falling off a ladder, hitting his head on concrete."
FY 2012,8/25/12,8/20/12,Hephalstos Building Supplies Inc., Astoria,NY,11104,,,Worker loading his vehicle with building supplies was struck and killed by a bus.
FY 2012,9/15/12,9/10/12,S&B Masonry Corp., Brooklyn,NY,11205,,,Employee died when a masonry wall collapsed on him.
FY 2012,11/19/11,11/8/11,SP&K Construction, Brooklyn,NY,11235,,,One worker died and three others were hospitalized when multiple floors collapsed in the structure where they were pouring concrete.
FY 2012,9/15/12,9/4/12,NYCDPR Al Oreter Recreation Center, Flushing,NY,11355,,,Worker was fatally stabbed during a verbal altercation with a garbage truck operator.
FY 2012,6/2/12,5/21/12,Rainbow Land Nursery School Inc., Woodside,NY,11377,,,Worker fell from a ladder.
FY 2012,9/15/12,8/27/12,MTA LIRR Hillside Yard Gang 26, Jamaica Queens,NY,11423,,,Worker performing maintenance work electrocuted after contacting an energized rail.
FY 2012,7/28/12,7/23/12,Locust Valley CSD, Locust Valley,NY,11560,,,A school bus driver was killed when a cement mixer collided head-on with the bus.
FY 2012,6/23/12,5/17/12,New York City Parks & Recreation, Far Rockaway,NY,11691,,,Worker for a city parks and recreation department died from overexposure to sealant and dye fumes.
FY 2012,12/3/11,11/26/11,81 Saxon Avenue Corp., Bay Shore,NY,11706,,,Laundry services worker was crushed by a conveyor shuttle.
FY 2012,9/15/12,9/1/12,Zorienzan's Amusements Inc., Brentwood,NY,11717,,,Carnival worker was fatally struck by a ride's spinning bucket.
FY 2012,3/10/12,3/8/12,Nugent's Tree Service Inc., Massapequa,NY,11758,,,Worker died after falling while trimming trees.
FY 2012,5/12/12,12/11/11,DBA Giannini Landscaping, Massapequa,NY,11758,,,Worker performing landscaping services was electrocuted after touching electrical lines.
FY 2012,11/5/11,11/1/11,Avalon Commons, Smithtown,NY,11787,,,Worker pumping sludge out of a sewage treatment tank died after falling into tank.
FY 2012,11/5/11,10/28/11,Intercounty Paving Associates of NY, Hicksville,NY,11801,,,Worker was struck by a motor vehicle.
FY 2012,1/7/12,12/30/11,Burt's Reliable Inc., Southold,NY,11971,,,Worker died from burns after heating a valve with a torch during a fuel transfer operation.
FY 2012,6/2/12,5/25/12,Delsignore Blacktop Paving Inc., East Greenbush,NY,12061,,,Worker lowering a tall light mast used to illuminate large areas was electrocuted when the light fixture touched a power line.
FY 2012,12/3/11,12/1/11,Albany Steel Inc., Menands,NY,12201,,,Worker died after falling 18 feet from a ladder.
FY 2012,1/21/12,1/18/12,Hunter Mountain Ski Bowl, Hunter,NY,12442,,,"Worker slid off the trail and into the woods, striking a tree."
FY 2012,12/3/11,11/26/11,United States Department of Agriculture, South Fallsburg,NY,12779,,,Federal safety inspector died of respiratory system complications.
FY 2012,1/28/12,1/25/12,Maurice DeMars, Queensbury,NY,12804,,,Worker was trapped under a log.
FY 2012,11/26/11,11/20/11,Northern Lights Auto Service, Mattydale,NY,13211,,,Worker was helping a driver whose vehicle was disabled and was struck and killed by a passing tractor trailer.
FY 2012,9/22/12,9/20/12,Ryan's Tree Service, Chaumont,NY,13622,,,Worker died after being crushed by a chipper.
FY 2012,9/29/12,9/20/12,Ryan's Tree Service, Chaumont,NY,13622,,,Worker died after being crushed by a chipper.
FY 2012,12/10/11,12/5/11,Decker Forest Products, Bainbridge,NY,13733,,,Worker was cutting down a tree when he was struck and killed by a nearby falling tree.
FY 2012,2/18/12,2/11/12,Winsor Acres Inc., Harpursville,NY,13787,,,Worker was struck and killed by a skid steer bucket.
FY 2012,6/30/12,6/13/12,Erie County Medical Center, Buffalo,NY,14215,,,Hospital worker was shot and killed.
FY 2012,3/17/12,3/13/12,Eberts Electric Inc., Amherst,NY,14226,,,Worker replacing a device that limits the amount of current in an electrical circuit was electrocuted after touching a live electrical component.
FY 2012,5/26/12,4/16/12,Keuka Lake Vineyards Ltd., Hammondsport,NY,14840,,,Worker at a vineyard was crushed by tractor that rolled over during a spraying operation.
FY 2012,5/5/12,4/30/12,Glavas LLC, Willoughby,OH,,,,Worker performing electrical work died from head injuries when he fell 20 feet from a ladder.
FY 2012,12/10/11,12/5/11,Fazio Mechanical Services, New Albany,OH,43054,,,Worker servicing a refrigeration unit leak collapsed and died.
FY 2012,8/11/12,8/4/12,Tuckerman Home Group, New Albany,OH,43054,,,Worker died after falling approximately 20 ft from a roof.
FY 2012,7/14/12,7/8/12,Owens Coming, Newark,OH,43055,,,Worker for an insulation manufacturer was found dead from possible heat stress.
FY 2012,9/8/12,9/6/12,Select Sires Inc., Plain City,OH,43064,,,Worker was crushed between the gate and post of a pen when letting bulls out to feed.
FY 2012,9/15/12,9/14/12,Worthington Cylinder Corporation, Westerville,OH,43082,,,"Employee was crushed between two 2,500-pound coils."
FY 2012,1/14/12,1/10/12,Toxco, Lancaster,OH,43130,,,Worker changing a tire on earthmoving equipment was crushed between a block of wood and the equipment.
FY 2012,6/9/12,6/4/12,Arcelor Mittal Columbus LLC, Columbus,OH,43207,,,Worker for a steel products manufacturer died after complaining of pain.
FY 2012,10/1/11,9/6/11,Bryan Shirk, Upper Arlington,OH,43221,,,"Worker was trimming trees from a truck-mounted basket lift, and was killed after being thrown from the basket and falling nearly 30 feet to the ground."
FY 2012,3/24/12,3/20/12,Genpak LLC, Columbus,OH,43228,,,Worker at a packing and crating facility who was cleaning a machine used to make rolls of plastic was killed after being pulled into the machine.
FY 2012,9/8/12,9/4/12,Mark F. Taggert Company, Columbus,OH,43229,,,Worker died from fall from a ladder.
FY 2012,9/22/12,9/22/12,Mark F. Taggert Company, Columbus,OH,43229,,,Worker died from fall from a ladder.
FY 2012,9/29/12,9/22/12,Mark F. Taggert Company, Columbus,OH,43229,,,Worker died from fall from a ladder.
FY 2012,2/4/12,1/3/12,Nucentury Textile Services LLC, Toledo,OH,43604,,,Worker killed after shirt was caught in a roller conveyor.
FY 2012,9/15/12,8/1/12,Libbey Glass Inc., Toledo,OH,43697,,,Employee died from fall at work.
FY 2012,12/24/11,12/17/11,Heritage Waste Technologies Industries, East Liverpool,OH,43920,,,"One worker died, another was seriously burned after handling nonferrous metal material."
FY 2012,3/24/12,3/19/12,D & E Tree Service, Scio,OH,43988,,,"Worker trimming trees from inside a truck's elevated bucket was killed when the bucket fell, crushing him between it and the truck's cab."
FY 2012,12/17/11,12/12/11,BJ's Wholesale Club, Avon,OH,44011,,,Worker was found slumped over a guardrail.
FY 2012,9/15/12,9/12/12,Athos Construction, Avon,OH,44011,,,Employee working in temporary work zone was struck and killed by a motor vehicle.
FY 2012,11/5/11,10/28/11,Arberia, Lakewood,OH,44107,,,Worker was killed when he fell 15 feet from a collapsed roof.
FY 2012,5/19/12,5/12/12,Cuyahoga Concrete Company, Cleveland,OH,44115,,,Worker using a pneumatic chisel to clean out the inside of a concrete truck was found dead.
FY 2012,6/30/12,6/26/12,General Motors Corp., Cleveland,OH,4413,,,Worker at a metal processing plant was killed after being caught between machinery.
FY 2012,1/28/12,1/24/12,RALG Demolition LLC, Cleveland,OH,44134,,,A building under demolition collapsed killing two workers.
FY 2012,11/26/11,11/17/11,Reilly Painting and Contracting, Cleveland,OH,44135,,,"Worker cleaning up after repairing a roof, died when he fell off the roof and landed on his head."
FY 2012,1/28/12,1/18/12,Swagelok Company, Solon,OH,44139,,,"Employee was performing assembly work when worker fell to the floor, suffering an apparent seizure."
FY 2012,11/12/11,11/10/11,Kokosing Construction Company, Brecksville,OH,44141,,,Worker setting up a traffic control board was struck and killed by a semi-truck.
FY 2012,7/21/12,4/26/12,Alside Supply Center, Cuyahoga Falls,OH,44223,,,Worker at a residential building supply company died from a possible heart attack.
FY 2012,3/31/12,3/27/12,Lockhart Concrete Company, Kent,OH,44240,,,Worker at a concrete manufacturing facility was crushed between a precast concrete slab and excavator.
FY 2012,5/19/12,5/16/12,Dayton Freight Lines Inc., Kent,OH,44240,,,Worker for a freight line company scanning a bar code with a hand held bar code scanner was crushed by the mast of a lift truck.
FY 2012,2/25/12,2/23/12,Walmart, Streetsbooro,OH,44241,,,Worker unloading a general merchandise truck died from apparent heart attack.
FY 2012,6/30/12,6/25/12,Bob Evans Restaurant, Streetsboro,OH,44241,,,Restaurant worker died from surgical complications after falling and fracturing her right hip.
FY 2012,2/11/12,2/8/12,Better Management Corporation of Ohio Inc., Columbiana,OH,44408,,,Worker struck in the leg by a pipe died after falling and hitting his head.
FY 2012,6/9/12,6/6/12,Tele-Solutions Inc., Salem,OH,44460,,,Worker suffered a fatal fall while installing telecommunications equipment.
FY 2012,6/2/12,5/31/12,Nelson Tree Service Inc., Youngtown,OH,44501,,,Worker clearing trees from power lines died after falling 45 feet.
FY 2012,7/21/12,7/16/12,MKE Producing, Bolivar,OH,44612,,,Two workers died when a gas well they were painting exploded.
FY 2012,3/24/12,3/20/12,Rayson Logging, Dundee,OH,44624,,,Worker performing logging operations was struck and killed by a tree.
FY 2012,1/28/12,1/27/12,Advanced Cylinder Repair Inc., Ashland,OH,44805,,,Worker was struck by a piston that was ejected from a machine.
FY 2012,9/15/12,9/12/12,Grower's Chemical Corporation, Norwalk,OH,44857,,,Farm worker died after being struck in the head by a hooper wagon.
FY 2012,3/3/12,3/2/12,Ohio American Water, Tiffin,OH,44883,,,Worker was struck and killed by a vehicle while operating a water valve.
FY 2012,6/30/12,6/27/12,Hav-Tech Inc., Fairfield,OH,45014,,,Worker installing plywood sheeting on a roof fell from a ladder after suffering an apparent heart attack.
FY 2012,6/2/12,5/25/12,Espinoza Construction, Cincinnati,OH,45237,,,Worker performing roof repairs at a residential site died after falling off the roof.
